epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,916.692,1.632,1.5222,2.13458,0.94308,0.82909,0.95706,0.46939,1.75464,1.60906,2.63259,0.00163172,0.00163172,0.00163172
95,925.87,1.534,1.43778,2.18716,0.94308,0.82909,0.95706,0.46939,1.75464,1.60906,2.63259,0.00162776,0.00162776,0.00162776
96,935.048,1.56074,1.47433,2.11866,0.93588,0.6,0.80388,0.38142,1.77198,1.6007,2.63795,0.0016238,0.0016238,0.0016238
97,944.22,1.59153,1.37879,2.03889,0.93588,0.6,0.80388,0.38142,1.77198,1.6007,2.63795,0.00161984,0.00161984,0.00161984
98,953.346,1.66088,1.51927,2.17819,0.73817,0.84593,0.83689,0.4484,1.66118,1.5834,2.51035,0.00161588,0.00161588,0.00161588
99,962.544,1.66524,1.51456,2.35358,0.73817,0.84593,0.83689,0.4484,1.66118,1.5834,2.51035,0.00161192,0.00161192,0.00161192
100,971.744,1.47434,1.32932,1.90085,1,0.89205,0.98204,0.54913,1.50578,1.34578,2.3736,0.00160796,0.00160796,0.00160796
101,980.929,1.84751,1.77904,2.55118,1,0.89205,0.98204,0.54913,1.50578,1.34578,2.3736,0.001604,0.001604,0.001604
102,990.15,1.5318,1.26666,2.00636,0.9486,0.92344,0.97583,0.56631,1.48409,1.33845,2.35725,0.00160004,0.00160004,0.00160004
103,999.206,1.26567,1.26032,1.86788,0.9486,0.92344,0.97583,0.56631,1.48409,1.33845,2.35725,0.00159608,0.00159608,0.00159608
104,1008.6,1.76218,1.42735,2.16126,1,0.86783,0.96759,0.59592,1.39396,1.23286,2.31694,0.00159212,0.00159212,0.00159212
105,1017.93,1.48352,1.31579,2.02388,1,0.86783,0.96759,0.59592,1.39396,1.23286,2.31694,0.00158816,0.00158816,0.00158816
106,1027.18,1.50423,1.31612,2.05774,0.81332,1,0.95956,0.61832,1.38811,1.2038,2.34924,0.0015842,0.0015842,0.0015842
107,1036.53,1.47188,1.24572,2.01714,0.81332,1,0.95956,0.61832,1.38811,1.2038,2.34924,0.00158024,0.00158024,0.00158024
108,1045.76,1.54785,1.24089,1.91517,0.86694,0.97789,0.96862,0.59652,1.45,1.15421,2.4245,0.00157628,0.00157628,0.00157628
109,1055.16,1.41451,1.40392,2.0995,0.86694,0.97789,0.96862,0.59652,1.45,1.15421,2.4245,0.00157232,0.00157232,0.00157232
110,1064.65,1.17082,1.34648,1.79915,0.93557,0.9,0.98024,0.56131,1.59848,1.3761,2.54181,0.00156836,0.00156836,0.00156836
111,1073.75,1.58542,1.31388,2.01371,0.93557,0.9,0.98024,0.56131,1.59848,1.3761,2.54181,0.0015644,0.0015644,0.0015644
112,1082.9,1.36079,1.22067,1.90355,1,0.78075,0.96863,0.48402,1.63721,1.76598,2.53107,0.00156044,0.00156044,0.00156044
113,1092.09,1.32852,1.3081,2.0737,1,0.78075,0.96863,0.48402,1.63721,1.76598,2.53107,0.00155648,0.00155648,0.00155648
114,1101.34,1.69851,1.40774,2.20002,1,0.89171,0.995,0.58572,1.42798,1.62284,2.35253,0.00155252,0.00155252,0.00155252
115,1110.48,1.30758,1.24282,1.80728,1,0.89171,0.995,0.58572,1.42798,1.62284,2.35253,0.00154856,0.00154856,0.00154856
116,1119.79,1.25916,1.12876,1.82804,0.99075,0.9,0.98795,0.58418,1.39779,1.25437,2.29453,0.0015446,0.0015446,0.0015446
117,1128.96,1.28578,1.38155,1.94435,0.99075,0.9,0.98795,0.58418,1.39779,1.25437,2.29453,0.00154064,0.00154064,0.00154064
118,1138.19,1.41774,1.43885,2.00342,0.82417,0.70329,0.86026,0.49915,1.45734,1.61164,2.35448,0.00153668,0.00153668,0.00153668
119,1147.36,1.43472,1.29065,1.80155,0.82417,0.70329,0.86026,0.49915,1.45734,1.61164,2.35448,0.00153272,0.00153272,0.00153272
120,1156.64,1.10957,1.13747,1.75045,0.66323,0.78813,0.79149,0.43732,1.52221,2.70145,2.39028,0.00152876,0.00152876,0.00152876
121,1165.93,1.43465,1.45105,2.01338,0.66323,0.78813,0.79149,0.43732,1.52221,2.70145,2.39028,0.0015248,0.0015248,0.0015248
122,1175.14,1.32287,1.14086,1.75509,1,0.89008,0.975,0.54991,1.53706,1.74527,2.43677,0.00152084,0.00152084,0.00152084
123,1184.24,1.47348,1.45905,1.89419,1,0.89008,0.975,0.54991,1.53706,1.74527,2.43677,0.00151688,0.00151688,0.00151688
124,1193.45,1.37663,1.24237,1.79398,0.89206,0.85,0.95217,0.57391,1.37023,1.57081,2.28111,0.00151292,0.00151292,0.00151292
125,1202.71,1.62116,1.349,2.35461,0.89206,0.85,0.95217,0.57391,1.37023,1.57081,2.28111,0.00150896,0.00150896,0.00150896
126,1211.84,2.15351,1.56645,3.07324,0.80011,0.65,0.83361,0.41696,1.63798,1.8039,2.41581,0.001505,0.001505,0.001505
127,1221.08,1.48811,1.35267,2.11573,0.80011,0.65,0.83361,0.41696,1.63798,1.8039,2.41581,0.00150104,0.00150104,0.00150104
128,1230.44,1.47909,1.25053,1.96162,0.76591,0.85,0.85595,0.49889,1.41578,1.62512,2.22998,0.00149708,0.00149708,0.00149708
129,1239.63,1.20464,1.08294,1.6579,0.76591,0.85,0.85595,0.49889,1.41578,1.62512,2.22998,0.00149312,0.00149312,0.00149312
130,1248.99,1.1165,1.06533,1.68451,0.8568,0.8,0.8825,0.514,1.51015,1.62503,2.41787,0.00148916,0.00148916,0.00148916
131,1258.12,1.47033,1.30676,1.94071,0.8568,0.8,0.8825,0.514,1.51015,1.62503,2.41787,0.0014852,0.0014852,0.0014852
132,1267.19,1.62872,1.19924,2.05566,0.89497,0.9,0.91623,0.52818,1.40743,1.63365,2.41141,0.00148124,0.00148124,0.00148124
